DESTINATION_COUNTRY,BUYER_ADDRESS,BUYER_NAME,COUNTRY_ISO_CODE_2,CURRENCY,EXPORTER_ADDRESS,EXPORTER_NAME,EXP_DATE,FOB_VALUE,GROSS_WEIGHT,HS_CODE,INCOTERMS,NET_WEIGHT,PACKAGE_UNIT,PRODUCT_DESCRIPTION,QUANTITY_OF_PACKAGE,_id,HS_CODE_DESCRIPTION,initial_id
"TAIWAN, PROVINCE OF CHINA",,FLUENCE ENERGY TAIWAN LIMITED,TW,USD,"UNIT A 17/F MARAJO TOWER 312 26TH S T. COR. 4TH AVE. BGC., TAGUIG 1634 PHILIPPINES",FLUENCE ENERGY INC,2025-09-30T00:00:00Z,3517.04,15.75,85176299,DAT,3.45,PK,"APC RACK PDU, SWITCHED, 1U, 16A, 208/230V, (8)C13 4 EA",0,478bc1e1-9c01-4d65-99bb-7413f16518d8,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",1
JAPAN,,CISCO SYSTEMS G K,JP,USD,"C103 G/F, STANDFORD TOWER CONDO 1870 M.H. DEL PILAR ST., BRGY. 699,076MALATE / MANILA 1004PHILIPPINES",BORDERTRADE MANAGEMENT INC,2025-09-30T00:00:00Z,157737.98,16.5,85176249,DAP,14,PK,1 PIECE NCS 5500 36X100G SCALE LINE CARD,1,53d2ca78-daef-4a08-a0ab-2700e3c213b0,IN LINE OPTIC FILTER MIRROR CABLE ASSEMBLY,2
"TAIWAN, PROVINCE OF CHINA",,FLUENCE ENERGY TAIWAN LIMITED,TW,USD,"UNIT A 17/F MARAJO TOWER 312 26TH S T. COR. 4TH AVE. BGC., TAGUIG 1634 PHILIPPINES",FLUENCE ENERGY INC,2025-09-30T00:00:00Z,765.04,6.21,85176299,DAT,1.36,PK,"APC HORIZONTAL CABLE MANAGER, 2U X 4"""" DEEP, SINGLE-SIDED WITH COVER 4 EA",0,b99f17aa-3670-4333-92cc-1c83ad956ae7,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",3
SINGAPORE,,SABENA TECHNICS,SG,USD,"CEBU PACIFIC BUILDING, DOMESTIC ROAD, BARANGAY 191, ZONE 20PASAY CITY 1301PHILIPPINES",CEBU AIR INC,2025-09-30T00:00:00Z,1000,5,85176269,DAP,4.5,PK,RADIO ALTIMETER TRANSCEIVER,1,26571044-af01-4d8e-9007-f27e2e8c903f,70063241011082L -- 1RU SPLICE PATCH DRAWER 96 WAY LC-APC LOADED LH,4
"TAIWAN, PROVINCE OF CHINA",,CISCO SYSTEM TAIWAN LIMITED,TW,USD,"C103 G/F, STANDFORD TOWER CONDO 1870 M.H. DEL PILAR ST., BRGY. 699,076MALATE / MANILA 1004PHILIPPINES",BORDERTRADE MANAGEMENT INC,2025-09-30T00:00:00Z,5002.06,1.5,85176249,CIF,1,PK,1 PIECE CISCO FIREPOWER 8 PORT 1G COPPER FTW NETWORK MODULE,1,8ddab1a7-ac4d-41fb-81c4-65f9c7e33e66,IN LINE OPTIC FILTER MIRROR CABLE ASSEMBLY,5
"TAIWAN, PROVINCE OF CHINA",,FLUENCE ENERGY TAIWAN LIMITED,TW,USD,"UNIT A 17/F MARAJO TOWER 312 26TH S T. COR. 4TH AVE. BGC., TAGUIG 1634 PHILIPPINES",FLUENCE ENERGY INC,2025-09-30T00:00:00Z,3391.44,194.5,85176299,DAT,172.3,PK,APC NETSHELTER SX 45U 750MM WIDE X 1070MM DEEP ENCLOSURE WITH SIDES BLACK,0,84128b3e-e565-4956-ab66-da6856d537a9,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",6
"TAIWAN, PROVINCE OF CHINA",,FLUENCE ENERGY TAIWAN LIMITED,TW,USD,"UNIT A 17/F MARAJO TOWER 312 26TH S T. COR. 4TH AVE. BGC., TAGUIG 1634 PHILIPPINES",FLUENCE ENERGY INC,2025-09-30T00:00:00Z,6274.98,16.55,85176299,DAT,14.5,PK,"SYNOLOGY 12-BAY RACKSTATION AC POWER CORD, C13 TO C14 FOR SYNOLOGY 1 EA",2,6189b19d-63a6-44e9-8d56-87f68468babe,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",7
AUSTRALIA,,CISCO SYSTEMS AUSTRALIA PTY LIMITED,AU,USD,"C103 G/F, STANDFORD TOWER CONDO 1870 M.H. DEL PILAR ST., BRGY. 699,076MALATE / MANILA 1004PHILIPPINES",BORDERTRADE MANAGEMENT INC,2025-09-29T00:00:00Z,4365.47,24,85176249,DAP,14.12,PK,1 PIECE APIC APPLIANCE - MEDIUM (UPTO 1200 EDGE PORTS) SPARE,1,0928949f-d859-4ba4-89d3-98aa80a9e6f6,IN LINE OPTIC FILTER MIRROR CABLE ASSEMBLY,8
MEXICO,,FLEXTRONICS MANUFACTURING MEX S A,MX,USD,"C103 G/F, STANDFORD TOWER CONDO 1870 M.H. DEL PILAR ST., BRGY. 699,076MALATE / MANILA 1004PHILIPPINES",BORDERTRADE MANAGEMENT INC,2025-09-29T00:00:00Z,51131.3,16,85176249,DAP,14,PK,1 PIECE CISCO 8201 CHASSIS W/ 24X400GE QSFP56-DD&12X100GE QSFP28,1,0fb87fb5-7ec0-4b2f-b0d7-db9441f1550f,IN LINE OPTIC FILTER MIRROR CABLE ASSEMBLY,9
GUAM,,PTI PACIFICA INC DBA ITE,GU,USD,"SAMSUNG ELECTRONICS PHILIPPINES COR, 7TH-10TH FLOORS SCIENCE HUB TOWER 4 BLDG, MCKINLEY HILL CYBERPARK, FORT BONIFACIO TAGUIG CIT 1634",SAMSUNG ELECTRONICS PHILIPPINES COR,2025-09-26T00:00:00Z,36645,35,85176259,EXW,32.9,BX,FRESH8-SMALL BT SILVER GALAXY WATCH SM-L320NZSAASA 140 PCS,9,5e949cfd-adb6-49ec-aae0-a704fdf1ad44,SFP COPPER PATCH CBL 10G 5M PASSV W,10
GUAM,,PTI PACIFICA INC DBA ITE,GU,USD,"SAMSUNG ELECTRONICS PHILIPPINES COR, 7TH-10TH FLOORS SCIENCE HUB TOWER 4 BLDG, MCKINLEY HILL CYBERPARK, FORT BONIFACIO TAGUIG CIT 1634",SAMSUNG ELECTRONICS PHILIPPINES COR,2025-09-26T00:00:00Z,36645,35,85176259,EXW,32.9,BX,FRESH8-SMALL BT DARK GRAY GALAXY WATCH SM-L320NDAAASA 140 PCS,9,5500055b-f0c1-4480-bc96-186435f17a20,SFP COPPER PATCH CBL 10G 5M PASSV W,11
