COUNTRY_ISO_CODE_2,CUSTOMS_OFFICE_NAME,CUSTOMS_PROVINCE_NAME,DECLARATION_DATE,DECLARATION_NUMBER,EXCHANGE_RATE,EXPORTER_ADDRESS_EN,EXPORTER_ADDRESS_VN,EXPORTER_ID,EXPORTER_NAME_EN,EXPORTER_NAME_VN,EXPORTER_PHONE,EXPORTER_POSTAL_CODE,EXPORT_TAX_RATE,FOREIGN_CURRENCY,HS_CODE,HS_CODE_2,HS_CODE_4,IMPORTER_ADDRESS,IMPORTER_COUNTRY,IMPORTER_NAME,INCOTERMS,PAYMENT_METHOD,PRODUCT_DESC_EN,PRODUCT_DESC_VN,QTY,_id,TOTAL_PRICE_IN_FOREIGN_CURRENCY,TOTAL_PRICE_IN_USD,TRANS_TYPE_CODE,TRANS_TYPE_NAME,TYPE_OF_EXPORT,UNIT,UNIT_PRICE_IN_FOREIGN_CURRENCY,UNIT_PRICE_IN_USD,HS_CODE_DESCRIPTION,EXPORTER_NAME_EN_extracted_info,EXPORTER_NAME_EN_manufacturer
VN,HQCNC,HANOI,2025-08-01T00:00:00Z,307633380630,1.0,ROOM 208 2ND FLOOR SACOM-CHIP SANG BUILDING LOT T2-4 ROAD D1 HI-TECH PARK TAN PHU WARD THU DUC CITY HO CHI MINH CITY,"P 901 TẦNG 9 TÒA NHÀ SACOM-CHÍP SÁNG LÔ T2-4 ĐƯỜNG D1 KHU CÔNG NGHỆ CAO P.TĂNG NHƠN PHÚ,TP.HCM",107514576001,MISUMI VIETNAM COMPANY LIMITED HO CHI MINH BRANCH,CÔNG TY TNHH MISUMI VIỆT NAM - CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH,(+84)43,,0.0,VND,85176242,85,8517,LO C5-2 DUONG SO 5 KHU CONG NGHIEP TINH PHONG XA THO PHONG TINH QUANG NGAI VN,VIETNAM,CONG TY TNHH DIEN TU FOSTER QUANG NGAI,DAP,KC,"CONCENTRATOR (HUB, THERE IS NO FUNCTION CODE CIVIL AND TRANSCEIVER, 10/100/1000MBPS, 5 PORT), 100% NEW CODE: MES-G5RJ-ST#&AMP;CN","BỘ TẬP TRUNG (HUB, KHÔNG CÓ CHỨC NĂNG MẬT MÃ DÂN SỰ VÀ THU PHÁT SÓNG, 10/100/1000MBPS, 5 CỔNG), MỚI 100%, CODE: MES-G5RJ-ST#&CN",1,095166db-3bc9-46ca-a69c-e1e60bbfd2b7,1304359.0,50.01376,OTHERS,OTHERS,ORDINARY EXPORT (INVESTMENT ENTERPRISES),PCE,1304359.0,50.01376,CONCENTRATORS OR MULTIPLEXERS,,
VN,HQTTHUAN,HỒ CHÍ MINH,2025-08-01T00:00:00Z,307633641840,1.0,NO. 35 STREET NO. 4 PHONG PHU 4 RESIDENTIAL AREA HAMLET 4 PHONG PHU COMMUNE BINH CHANH DISTRICT HO CHI MINH CITY VIETNAM,"SỐ 35 ĐƯỜNG SỐ 4 , KHU DÂN CƯ PHONG PHÚ 4, ẤP 4, XÃ PHONG PHÚ, XÃ BÌNH HƯNG, TP.HCM , VIỆT NAM",316240181,KIM VUONG TECHNOLOGY SERVICE TRADING INVESTMENT COMPANY LIMITED,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ KỸ THUẬT KIM VƯƠNG,903075587,,0.0,VND,85176230,85,8517,DUONG TAN THUAN KCX TAN THUAN P TAN THUAN DONG TP HCM VIET NAM VN,VIETNAM,CTY TNHH JUKI VIET NAM,DAP,KC,THE USB 4 PORT USB 3.0 ORICO TWU3-4A-BK(25-0705-R12-2-PX4) NEW GOODS 100%#&AMP;CN,BỘ CHIA USB 4 CỔNG USB 3.0 ORICO TWU3-4A-BK(25-0705-R12-2-PX4) HÀNG MỚI 100%#&CN,1,46efddcd-912a-4307-b96f-66492483ae77,390000.0,14.95398,OTHERS,OTHERS,ORDINARY EXPORT (INVESTMENT ENTERPRISES),PCE,390000.0,14.95398,TELEPHONIC OR TELEGRAPHIC SWITCHING APPARATUS,,
VN,HQTSNHAT,HỒ CHÍ MINH,2025-08-01T00:00:00Z,307631071660,25960.0,176 HOA LAN WARD 02 PHU NHUAN DISTRICT HO CHI MINH CITY VIETNAM,"176 HOA LAN, PHƯỜNG 2, QUẬN PHÚ NHUẬN, TP. HỒ CHÍ MINH",305625415,FALCON LOGISTICS JOINT STOCK COMPANY,CÔNG TY CỔ PHẦN FALCON LOGISTICS,8428,,0.0,USD,85176241,85,8517,CANG GO DAU B3 DONG NAI VN,VIETNAM,TAU DD VOYAGER,FOB,KHONGTT,"MODULAR COUPLER-MODULE CONNECTION NETWORK USE ON SHIPS, PN: DDV-0411, MAKER: JIATONG MARINE. NEW GOODS 100%#&AMP;CN","MODULAR COUPLER-MÔ ĐUN ĐẤU NỐI MẠNG SỬ DỤNG TRÊN TÀU BIỂN, PN: DDV-0411, MAKER: JIATONG MARINE. HÀNG MỚI 100%#&CN",4,c4f2a7d9-b05f-4ed9-bbed-2867fc2f50a5,80.0,80.0,SEA,SEA,RE-EXPORT DUTY-FREE TEMPORARY IMPORT,PCE,20.0,20.0,MODEMS INCLUDING CABLE MODEMS AND MODEM CARDS,Jiatong Marine DDV-0411,Jiatong Marine
CN,HQKCXKCNHP,HAI PHONG,2025-08-01T00:00:00Z,307631405930,25960.0,PLOT C-04 PART OF PLOT C-05 BELONGING TO LOT CN12 AN DUONG INDUSTRIAL PARK HONG PHONG COMMUNE AN DUONG DISTRICT HAI PHONG CITY VIETNAM,"THỬA ĐẤT C-04, MỘT PHẦN THỬA ĐẤT C-05 THUỘC LÔ ĐẤT CN12 KCN AN DƯƠNG, P AN PHONG, TP HẢI PHÒNG,VN",202055026,TONGWEI ELECTRONICS VIETNAM COMPANY LIMITED,CÔNG TY TNHH ĐIỆN TỬ TONGWEI (VIỆT NAM),963580987,,0.0,USD,85176241,85,8517,FLAT A 13/F LEAHANDER CENTRE 28 WANG WO TSAI STREET TSUEN WAN NT HONG KONG HK,CHINA,GONGJIN ELECTRONIC HONG KONG LIMITED,FCA,KHONGTT,"1F084D90#&AMP;EQUIPMENT, MODULATOR, ENTERTAINMENT, TURN (NOKIA) (MODEM USED TO CONVERT SIGNALS NETWORK TO THE INTERNET), MODEL U-010X-A, 12V-1.5 A, MATP: 9210000053400000. NEW GOODS 100%#&AMP;VN","1F084D90#&THIẾT BỊ ĐIỀU BIẾN, GIẢI BIẾN (NOKIA) (MODEM DÙNG ĐỂ BIẾN ĐỔI TÍN HIỆU MẠNG INTERNET), MODEL U-010X-A, 12V-1.5A, MATP: 9210000053400000. HÀNG MỚI 100%#&VN",56,d74f387b-61af-47be-9cb4-310b1ae8c372,4233.04,4233.04,AIR,AIR,ORDINARY EXPORT (PROCESSING ENTERPRISES),PCE,75.59,75.59,MODEMS INCLUDING CABLE MODEMS AND MODEM CARDS,Nokia U-010X-A,Nokia
US,HQKCXKCNHP,HAI PHONG,2025-08-01T00:00:00Z,307631006010,25960.0,PLOT C-04 PART OF PLOT C-05 BELONGING TO LOT CN12 AN DUONG INDUSTRIAL PARK HONG PHONG COMMUNE AN DUONG DISTRICT HAI PHONG CITY VIETNAM,"THỬA ĐẤT C-04, MỘT PHẦN THỬA ĐẤT C-05 THUỘC LÔ ĐẤT CN12 KCN AN DƯƠNG, P AN PHONG, TP HẢI PHÒNG,VN",202055026,TONGWEI ELECTRONICS VIETNAM COMPANY LIMITED,CÔNG TY TNHH ĐIỆN TỬ TONGWEI (VIỆT NAM),963580987,,0.0,USD,85176243,85,8517,FLAT A 13/F LEAHANDER CENTRE 28 WANG WO TSAI STREET TSUEN WAN NT HONG KONG HK,UNITED STATES,GONGJIN ELECTRONIC HONG KONG LIMITED,FOB,KC,"1F0C7490#&AMP;ASUS ROUTERS (ROUTER POCKET WIFI), MODEL RP-BE58, 100-240V ~ 0.15 A, MATP: 9010000037080000. NEW GOODS 100%#&AMP;VN","1F0C7490#&THIẾT BỊ ĐỊNH TUYẾN ASUS (ROUTER BỘ PHÁT WIFI), MODEL RP-BE58, 100-240V ~ 0.15A, MATP: 9010000037080000. HÀNG MỚI 100%#&VN",4800,27a9c8f9-e838-411d-8de3-3efd2715386a,137040.0,137040.0,SEA,SEA,ORDINARY EXPORT (PROCESSING ENTERPRISES),PCE,28.55,28.55,"CONTROL AND ADAPTOR UNITS, INCLUDING GATEWAYS, BRIDGES, ROUTERS AND OTHER SIMILAR APPARATUS DESIGNED ONLY FOR CONNECTION WITH AUTOMATIC DATA PROCESSING MACHINES OF HEADING 84.71",ASUS RP-BE58,ASUS
BE,HQBACGIANG,BAC NINH,2025-08-01T00:00:00Z,307633859650,25960.0,DINH TRAM INDUSTRIAL PARK NEH TOWN VIET YEN DISTRICT BAC GIANG PROVINCE VIETNAM,"KHU CÔNG NGHIỆP ĐÌNH TRÁM, PHƯỜNG NẾNH, TỈNH BẮC NINH, VIỆT NAM",2400373024,FUHONG PRECISION COMPONENT BAC GIANG COMPANY LIMITED,CÔNG TY TNHH FUHONG PRECISION COMPONENT (BẮC GIANG),2413856888,,0.0,USD,85176241,85,8517,54 GENTING LANE #03-05 RUBY LAND COMPLEX SINGAPORE(349562) BE,BELGIUM,CLOUD NETWORK TECHNOLOGY SINGAPORE PRIVATE LIMITED,FCA,KC,"P17829#&AMP;MODULATOR (MODEM) (FGA228BVDF) WATTAGE 30W, VOLTAGE 12V,#&AMP;KXĐ","P17829#&BỘ ĐIỀU BIẾN (MODEM) (FGA228BVDF) CÔNG SUẤT 30W, ĐIỆN ÁP 12V,#&KXĐ",3,c57d57eb-3dae-4d52-88b3-aa214ce4104f,199.62,199.62,AIR,AIR,ORDINARY EXPORT (PROCESSING ENTERPRISES),PCE,66.54,66.54,MODEMS INCLUDING CABLE MODEMS AND MODEM CARDS,,
CN,HQBACGIANG,BAC NINH,2025-08-01T00:00:00Z,307631025940,25960.0,LOT M1 AND LOT F QUANG CHAU INDUSTRIAL PARK VAN TRUNG COMMUNE VIET YEN DISTRICT BAC GIANG PROVINCE VIETNAM,"LÔ M1, LÔ F VÀ LÔ T1, KHU CÔNG NGHIỆP QUANG CHÂU, PHƯỜNG NẾNH, TỈNH BẮC NINH, VIỆT NAM",2400879766,FUYU PRECISION COMPONENT COMPANY LIMITED,CÔNG TY TNHH CÔNG NGHỆ CHÍNH XÁC FUYU,2223856888,,0.0,USD,85176243,85,8517,54 GENTING LANE #03-05 RUBY LAND COMPLEX SINGAPORE(349562) CN,CHINA,CLOUD NETWORK TECHNOLOGY SINGAPORE PRIVATE LIMITED,FCA,KC,"P75236#&AMP;ROUTER,UCGUR001.FC (UCG-ULTRA)(NETWORK SPEED: 1~2.5 GBPS, SOURCE: 5V/3A)#&AMP;VN","P75236#&BỘ ĐỊNH TUYẾN,UCGUR001.FC (UCG-ULTRA)(TỐC ĐỘ MẠNG: 1~2.5GBPS, NGUỒN: 5V/3A)#&VN",10,0ed1ee39-eac0-437a-a1b0-6217faab8162,670.367,670.367,AIR,AIR,ORDINARY EXPORT (PROCESSING ENTERPRISES),PCE,67.0367,67.0367,"CONTROL AND ADAPTOR UNITS, INCLUDING GATEWAYS, BRIDGES, ROUTERS AND OTHER SIMILAR APPARATUS DESIGNED ONLY FOR CONNECTION WITH AUTOMATIC DATA PROCESSING MACHINES OF HEADING 84.71",,
CN,HQBACGIANG,BAC NINH,2025-08-01T00:00:00Z,307631025940,25960.0,LOT M1 AND LOT F QUANG CHAU INDUSTRIAL PARK VAN TRUNG COMMUNE VIET YEN DISTRICT BAC GIANG PROVINCE VIETNAM,"LÔ M1, LÔ F VÀ LÔ T1, KHU CÔNG NGHIỆP QUANG CHÂU, PHƯỜNG NẾNH, TỈNH BẮC NINH, VIỆT NAM",2400879766,FUYU PRECISION COMPONENT COMPANY LIMITED,CÔNG TY TNHH CÔNG NGHỆ CHÍNH XÁC FUYU,2223856888,,0.0,USD,85176243,85,8517,54 GENTING LANE #03-05 RUBY LAND COMPLEX SINGAPORE(349562) CN,CHINA,CLOUD NETWORK TECHNOLOGY SINGAPORE PRIVATE LIMITED,FCA,KC,"P52995#&AMP;ROUTER,UCGMAX01.FC (UCG-MAX) ( NETWORK SPEED: 1GBPS, POWER SUPPLY: AC INPUT 110V~240V, 50/60HZ, DC 5V/3A)#&AMP;VN","P52995#&BỘ ĐỊNH TUYẾN,UCGMAX01.FC (UCG-MAX) ( TỐC ĐỘ MẠNG: 1GBPS, NGUỒN: AC INPUT 110V~240V, 50/60HZ, DC 5V/3A)#&VN",10,e9b8042e-dbbd-4858-9675-d21259b8cf3e,1286.026,1286.026,AIR,AIR,ORDINARY EXPORT (PROCESSING ENTERPRISES),PCE,128.6026,128.6026,"CONTROL AND ADAPTOR UNITS, INCLUDING GATEWAYS, BRIDGES, ROUTERS AND OTHER SIMILAR APPARATUS DESIGNED ONLY FOR CONNECTION WITH AUTOMATIC DATA PROCESSING MACHINES OF HEADING 84.71",,
CN,HQKCXKCNHP,HAI PHONG,2025-08-01T00:00:00Z,307631040900,25960.0,PLOT B-09 B-10 B-11 B-12 B-13 B-14 LOT CN7 STEEL STRUCTURE FACTORY NO. 33 AT LOT CN8-B04 AN DUONG INDUSTRIAL PARK COMMUNE HONG PHONG,"THỬA ĐẤT B-09 ĐẾN B-14 LÔ ĐẤT CN7,KCN AN DƯƠNG,PHƯỜNG AN PHONG, THÀNH PHỐ HẢI PHÒNG, VIỆT NAM",201937177,LIANYUE VIETNAM COMPANY LIMITED,CÔNG TY TNHH LIANYUE (VIỆT NAM),944618406,,0.0,USD,85176243,85,8517,ROOM 101 401 501 601 BUILDING 3 BUILDING 2 NO. 21 NANLANG ROAD SONGSHAN LAKE PARK,CHINA,DONGGUAN LIANZHOU TECHNOLOGIES CO LIMITED,DAP,OA,"XGB430V PRO(US2) Y255396#&AMP;ROUTERS, MODEL: XGB430V PRO. NEW GOODS 100% #&AMP;VN","XGB430V PRO(US2) Y255396#&BỘ ĐỊNH TUYẾN, MODEL: XGB430V PRO. HÀNG MỚI 100% #&VN",3,79f995b9-6ba1-4fb5-a52a-92db3a503019,213.3,213.3,AIR,AIR,ORDINARY EXPORT (PROCESSING ENTERPRISES),PCE,71.1,71.1,"CONTROL AND ADAPTOR UNITS, INCLUDING GATEWAYS, BRIDGES, ROUTERS AND OTHER SIMILAR APPARATUS DESIGNED ONLY FOR CONNECTION WITH AUTOMATIC DATA PROCESSING MACHINES OF HEADING 84.71",,
IN,HQKCXKCNHP,HAI PHONG,2025-08-01T00:00:00Z,307631534730,25960.0,PLOT C-04 PART OF PLOT C-05 BELONGING TO LOT CN12 AN DUONG INDUSTRIAL PARK HONG PHONG COMMUNE AN DUONG DISTRICT HAI PHONG CITY VIETNAM,"THỬA ĐẤT C-04, MỘT PHẦN THỬA ĐẤT C-05 THUỘC LÔ ĐẤT CN12 KCN AN DƯƠNG, P AN PHONG, TP HẢI PHÒNG,VN",202055026,TONGWEI ELECTRONICS VIETNAM COMPANY LIMITED,CÔNG TY TNHH ĐIỆN TỬ TONGWEI (VIỆT NAM),963580987,,0.0,USD,85176241,85,8517,FLAT A 13/F LEAHANDER CENTRE 28 WANG WO TSAI STREET TSUEN WAN NT HONG KONG HK,INDIA,GONGJIN ELECTRONIC HONG KONG LIMITED,FCA,KC,"1F084D90#&AMP;EQUIPMENT, MODULATOR, ENTERTAINMENT, TURN (NOKIA) (MODEM USED TO CONVERT SIGNALS NETWORK TO THE INTERNET), MODEL U-010X-A, 12V-1.5 A, MATP: 9210000053400000. NEW GOODS 100%#&AMP;VN","1F084D90#&THIẾT BỊ ĐIỀU BIẾN, GIẢI BIẾN (NOKIA) (MODEM DÙNG ĐỂ BIẾN ĐỔI TÍN HIỆU MẠNG INTERNET), MODEL U-010X-A, 12V-1.5A, MATP: 9210000053400000. HÀNG MỚI 100%#&VN",7,dbe81202-d0a4-4e2e-98e8-dbdd9b193467,552.72,552.72,AIR,AIR,ORDINARY EXPORT (PROCESSING ENTERPRISES),PCE,78.96,78.96,MODEMS INCLUDING CABLE MODEMS AND MODEM CARDS,Nokia U-010X-A,Nokia
