product_desc,product_category
"#&GATEWAY CONNECTION DEVICE, MODEL: XC44BE443T-F100-DN, (NO MMDS, NO NETWORK SECURITY FUNCTION), RE-EXPORTED ALL DH TK 106487624461/G13/08/08/2024. USED GOODS#&CN",GATEWAY CONNECTION DEVICE
"#&OPTICAL SIGNAL SPLITTER, MODEL RAINIER400, BRAND MOLEX, 220V/550W, MANUFACTURED BY ZHUHAI FREE TRADE ZONE OPLINK COMMUNICATIONS TECHNOLOGY CO., LTD., 100% NEW. EXPORT RETURN ITEM 1 TK 106853978560/E13#&CN",OPTICAL SIGNAL SPLITTER
"#AIRCHK#&DATA TRANSMISSION AND RECEPTION DEVICE VIA BLUETOOTH TECHNOLOGY #AIRCHK, 100% NEW.#&VN",DATA TRANSMISSION AND RECEPTION DEVICE VIA BLUETOOTH TECHNOLOGY
#JDRF-GW-02-LTE-V01#&WIRELESS COMMUNICATION DEVICE FOR REMOTE LIGHTING CONTROL SYSTEM MANAGEMENT #JDRF-GW-02-LTE-V01. 100% NEW#&VN,WIRELESS COMMUNICATION DEVICE FOR REMOTE LIGHTING CONTROL SYSTEM MANAGEMENT
#JDRF-GW-02-WIFI+LTE#&WIRELESS COMMUNICATION DEVICE FOR REMOTE LIGHTING CONTROL SYSTEM MANAGEMENT #JDRF-GW-02-WIFI+LTE. 100% NEW.#&VN,WIRELESS COMMUNICATION DEVICE FOR REMOTE LIGHTING CONTROL SYSTEM MANAGEMENT
(107080625260/G13/2025-04-08)TELECOMMUNICATIONS EQUIPMENT FOR TRANSMITTING AND RECEIVING DATA WITH WIRELESS NETWORK CONNECTION FOR USE IN AUTOMOBILES-IVIDIV(TL1R22NC.BCB431). 100% NEW#&VN,TELECOMMUNICATIONS EQUIPMENT FOR TRANSMITTING AND RECEIVING DATA WITH WIRELESS NETWORK CONNECTION FOR USE IN AUTOMOBILES
"(107303292460/E11/2025-06-27) WIFI CONNECTION MODULE OF WASHING MACHINE, USING DC 5V CURRENT, POWER UNDER 60MW-WMDIV(EBR32418502). 100% NEW#&IN",WIFI CONNECTION MODULE OF WASHING MACHINE
"(107383745340/A42/2025-07-25)WIFI AND BLUETOOTH CONNECTION MODULE OF CAR ENTERTAINMENT AUDIO AND VISUAL DEVICES, POWER < 60 MW-IVIDIV(EAT64193807).100% NEW#&TW",WIFI AND BLUETOOTH CONNECTION MODULE OF CAR ENTERTAINMENT AUDIO AND VISUAL DEVICES
"(3320100000681000), NETWORK CARD INTEL82575EB, WIRELESS USE SERVER, PCI-E*1. NO SUN, MMDS, NO CN: BM-THREADED IP; BM CHANNEL, SXN 2025, EXPANDING FUTURE PROFESSIONAL MANUFACTURER.NEW 100%#&AMP;CN",NETWORK CARD
"(3320100000711000) - SWITCHH3C SIGNAL SPLITTER, S5024PV5-EI, 24*GIGABIT POWER PORTS + 4*SFP, 9V, 0.6A, FOR INTERNAL NETWORK SPLITTING. NO MMDS FUNCTION, IP STREAM SECURITY, CHANNEL SECURITY. 100% NEW#&CN",SWITCHH3C SIGNAL SPLITTER
"(3320100000821000) - TP-LINK SPLITTER PORT USED TO CONNECT MULTIPLE COMPUTERS WITH MOBILE DEVICES TOGETHER, VOLTAGE 9V, 0.6A, NO MMDS FUNCTION, NO FUNCTION: IP STREAM SECURITY; CHANNEL SECURITY. 100% NEW #&CN",SPLITTER
"(EMS59000) HU250 CENTRAL COMMUNICATION GATEWAY PART OF T300-VOLTAGE 12 TO 48 VDC-USED FOR REMOTE CONTROL APPLICATION OF T300 DEVICES IN DIGITAL WIRED SYSTEMS,#&EE",CENTRAL COMMUNICATION GATEWAY
"(FACE) SMART WATCH (GPS UNIT,VENU 2 PLUS,W/O B,BLACK+SLATE,KOR/SEA,RECERTIFIED)-MODEL:A04125-ITEM CODE:S10-02496-51,OPERATING IN 13.56 MHZ BAND WITH CS TRANSMIT 78.34MW#&TW",SMART WATCH
"(FACE) SMART WATCH (GPS UNIT,VENU 2 PLUS,W/O B,POWDERGRAY/P,KOR/SEA,RECERTIFIED)-MODEL:A04125-ITEM CODE:S10-02496-50,OPERATING IN 13.56 MHZ BAND WITH CS TRANSMIT 78.34MW#&TW",SMART WATCH
"(FACE) SMART WATCH (GPS UNIT,VENU 3,W/O B,BLACK/SLATE,KOR/SEA,SERVICE)-MODEL:A04543-ITEM CODE:S10-U2784-51,OPERATING IN 13.56 MHZ BAND WITH CS TRANSMIT 51.52MW#&TW",SMART WATCH
"(FACE) SMART WATCH (GPS UNIT,VENU 3,W/O B,WHTSTN/PASSI,KOR/SEA,RECERTIFIED)-MODEL:A04543-ITEM CODE:S10-02784-50,OPERATING IN 13.56 MHZ BAND WITH CS TRANSMIT 51.52MW#&TW",SMART WATCH
"(FACE) SMART WATCH (GPS UNIT,VENU 3,W/O B,WHTSTN/PASSI,KOR/SEA,SERVICE)-MODEL:A04543-ITEM CODE:S10-U2784-50,OPERATING IN 13.56 MHZ BAND WITH CS TRANSMIT 51.52MW#&TW",SMART WATCH
"(FACE) SMART WATCH (GPS UNIT,VENU 3S,W/O B,DUST ROSE/SG,KOR/SEA,SERVICE)-MODEL:A04542-ITEM CODE:S10-U2785-53,OPERATING IN 13.56 MHZ BAND WITH CS TRANSMIT 38.55MW#&TW",SMART WATCH
"(FACE) SMART WATCH (GPS UNIT,VENU 3S,W/O B,FRENCHGRAY/SG,KOR/SEA,SERVICE)-MODEL:A04542-ITEM CODE:S10-U2785-52,OPERATING IN 13.56 MHZ BAND WITH CS TRANSMIT 38.55MW#&TW",SMART WATCH
"(FACE) SMART WATCH (GPS UNIT,VENU 3S,W/O B,IVORY/SG,KOR/SEA,SERVICE)-MODEL:A04542-ITEM CODE:S10-U2785-54,OPERATING IN 13.56 MHZ BAND WITH CS TRANSMIT 38.55MW#&TW",SMART WATCH
"(FACE) SMART WATCH (GPS UNIT,VENU 3S,W/O B,PEBBLEGY/ST,KOR/SEA,SERVICE)-MODEL:A04542-ITEM CODE:S10-U2785-50,OPERATING IN 13.56 MHZ BAND WITH CS TRANSMIT 38.55MW#&TW",SMART WATCH
"(FACE) SMART WATCH (GPS UNIT,VENU 3S,W/O B,SAGEGRAY/PA,KOR/SEA,SERVICE)-MODEL:A04542-ITEM CODE:S10-U2785-51,OPERATING IN 13.56 MHZ BAND WITH CS TRANSMIT 38.55MW#&TW",SMART WATCH
"(FACE) SMARTWATCH (GPSUNIT,FENIX8 43MM,W/O B,AMOL,SA,C/B,SEA,A04805,SERVICE)-MODEL:A04805-ITEM CODE:S10-U2903-28,OPERATING IN 13.56 MHZ BAND WITH 13.71MW#&TW TRANSMIT CS",SMARTWATCH
"(FACE) SMARTWATCH (GPSUNIT,FENIX8 43MM,W/O B,AMOL,SA,S/F,SEA,A04805,SERVICE)-MODEL:A04805-ITEM CODE:S10-U2903-18,OPERATING IN 13.56 MHZ BAND WITH CS TRANSMIT 13.71MW#&TW",SMARTWATCH
"(FACE) SMARTWATCH (GPSUNIT,FENIX8 47MM,W/O B,AMOL,G/S/B,SEA,A04806,SERVICE)-MODEL:A04806-ITEM CODE:S10-U2904-09,OPERATES IN 13.56 MHZ BAND WITH CS TRANSMIT 22.86MW#&TW",SMARTWATCH
"(FACE) SMARTWATCH (GPSUNIT,FENIX8 47MM,W/O B,AMOL,SA,CGT,SEA,A04806,SERVICE)-MODEL:A04806-ITEM CODE:S10-U2904-29,OPERATING IN 13.56 MHZ BAND WITH CS TRANSMIT 22.86MW#&TW",SMARTWATCH
"(FACE) SMARTWATCH (GPSUNIT,FENIX8 47MM,W/O B,AMOL,SA,TBG,SEA,A04806,SERVICE)-MODEL:A04806-ITEM CODE:S10-U2904-19,OPERATING IN 13.56 MHZ BAND WITH CS TRANSMIT 22.86MW#&TW",SMARTWATCH
"(FACE) SMARTWATCH (GPSUNIT,FENIX8 51MM,W/O B,AMOL,SA,CTB,SEA,A04808,SERVICE)-MODEL:A04808-ITEM CODE:S10-U2905-63,OPERATING IN 13.56 MHZ BAND WITH 25.29MW#&TW TRANSMIT CS",SMARTWATCH
"(FACE) SMARTWATCH (GPSUNIT,FENIX8 51MM,W/O B,AMOL,SA,TBG,SEA,A04808,SERVICE)-MODEL:A04808-ITEM CODE:S10-U2905-53,OPERATES IN 13.56 MHZ BAND WITH CS TRANSMIT 25.29MW#&TW",SMARTWATCH
"(FG-100F-BDL-950-12) FORTIGATE 100F FIREWALL DEVICE WITH HARDWARE SUPPORT & WARRANTY SERVICE AND FORTINET UNIFIED PROTECTION SOFTWARE LICENSE, USED TO CONTROL DATA, 100% NEW #&TW",FIREWALL DEVICE
"(FG-80F) FORTINET FORTIGATE- 80F FIREWALL DEVICE (8 X GE RJ45 PORTS, 2 X RJ45/SFP SHARED MEDIA WAN PORTS.), 100% NEW #&TW",FIREWALL
"(IPEH-004022) PCAN-USB FD ANALYZER, (FUNCTION OF COLLECTING, CONVERTING DATA, COMMUNICATING VIA USB PORT, CONTROLLING, PROCESSING DATA OF CAN-BUS NETWORK, 5V VOLTAGE). MANUFACTURER: PEAK, 100% NEW PRODUCT #&DE",ANALYZER
"[CA-4CH-RS485-ETH] 4-CHANNEL RS485 TO ETHERNET CN STANDARD CONVERTER - WAVESHARE - RS485 TO ETHERNET SIGNAL CONVERTER, MULTI 12V USED FOR NETWORK CONVERSION IN CN FACTORY. 100% NEW#&CN",SIGNAL CONVERTER
[IRIV-IOC] IRIV IO CONTROLLER INDUSTRIAL I/O SIGNAL CONVERTER. 100% NEW#&MY,IO CONTROLLER
"00-13060-00-VN#&AUDIO SIGNAL TRANSMITTER, MODEL EA-300-LYNK, VOLTAGE 5V DC, CURRENT 2A, 100% NEW#&VN",AUDIO SIGNAL TRANSMITTER
013-0317-001#&HEADSET FOR STATIONARY PHONES; OTHER / STANDARD XRECEIVER 0XS L (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN,HEADSET
013-0319-001#&HEADSET FOR STATIONARY PHONES; OTHER / STANDARD XRECEIVER 1XS L (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN,HEADSET
013-0321-001#&AMP;HEADSET FOR STATIONARY PHONES; OTHER / STANDARD XRECEIVER 2XS L (MODULES CONVERT ELECTRICAL SIGNALS FROM THE HEARING AID INTO SOUND)#&AMP;VN,HEADSET
013-0321-001#&HEADSET FOR STATIONARY PHONES; OTHER / STANDARD XRECEIVER 2XS L (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN,HEADSET
013-0322-001#&AMP;HEADSET FOR STATIONARY PHONES; OTHER / STANDARD XRECEIVER 2XS R (MODULES CONVERT ELECTRICAL SIGNALS FROM THE HEARING AID INTO SOUND)#&AMP;VN,HEADSET
013-0330-001#&HEADSET FOR STATIONARY PHONES; OTHER / POWER XRECEIVER 1XP R (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN,HEADSET
